PRODUCTS DETAIL,,,,,,,,,,,,,,
,,MANUFACTURER DETAIL,,,,,,,,,DISTRIBUTOR DETAIL,,,
PRODUCT,DESCRIPTION,MANUFACTURER,ADDRESS,RETAIL ADDRESS,COUNTRY,TEL #,FAX #,WEBSITE ADDRESS LINK,TAGS,,DISTRIBUTOR #1 -  DETAIL,DISTRIBUTOR #2 -  DETAIL,DISTRIBUTOR #3 -  DETAIL,NOTES/OTHER DETAIL
,,,,,,,,,,,,,,
SUPERB BLEND SMOKEY AMBARELLA SAUCE,Sauce,JAY'S ENTERPRISES,"Building #17 Unit 5&6, Wildey Industrial Estate, St. Michael",,,246-434-7893,246-434-7894,www.superbblend.com,,,,,,
SUPERB BLEND TROPICAL MANGO SAUCE,Sauce,JAY'S ENTERPRISES,"Building #17 Unit 5&6, Wildey Industrial Estate, St. Michael",,,246-434-7893,246-434-7894,www.superbblend.com,,,,,,
SUPERB BLEND EXOTIC CURRY SAUCE,Sauce,JAY'S ENTERPRISES,"Building #17 Unit 5&6, Wildey Industrial Estate, St. Michael",,,246-434-7893,246-434-7894,www.superbblend.com,,,,,,
SUPERB BLEND TANGY CARAMBOLA SAUCE,Sauce,JAY'S ENTERPRISES,"Building #17 Unit 5&6, Wildey Industrial Estate, St. Michael",,,246-434-7893,246-434-7894,www.superbblend.com,,,,,,
SUPERB BLEND YELLOW PEPPER SAUCE,Pepper Sauce,JAY'S ENTERPRISES,"Building #17 Unit 5&6, Wildey Industrial Estate, St. Michael",,,246-434-7893,246-434-7894,www.superbblend.com,,,,,,
SUPERB BLEND RED PEPPER SAUCE,Pepper Sauce,JAY'S ENTERPRISES,"Building #17 Unit 5&6, Wildey Industrial Estate, St. Michael",,,246-434-7893,246-434-7894,www.superbblend.com,,,,,,
SUPERB BLEND PREMIUM SEASONING,Seasoning,JAY'S ENTERPRISES,"Building #17 Unit 5&6, Wildey Industrial Estate, St. Michael",,,246-434-7893,246-434-7894,www.superbblend.com,,,,,,
SUPERB BLEND MILD SEASONING,Seasoning,JAY'S ENTERPRISES,"Building #17 Unit 5&6, Wildey Industrial Estate, St. Michael",,,246-434-7893,246-434-7894,www.superbblend.com,,,,,,
SUPERB BLEND JERK SEASONING,Seasoning,JAY'S ENTERPRISES,"Building #17 Unit 5&6, Wildey Industrial Estate, St. Michael",,,246-434-7893,246-434-7894,www.superbblend.com,,,,,,
SUPERB BLEND NO PEPPER SEASONING,Seasoning,JAY'S ENTERPRISES,"Building #17 Unit 5&6, Wildey Industrial Estate, St. Michael",,,246-434-7893,246-434-7894,www.superbblend.com,,,,,,
SWEET AND DANDY MAUBY SYRUP,Syrup,ROSE & LAFLAMME,"Building #9, Newton Industrial Park, Christ Church",,,246-428-4112,246-420-8523,www.roselaflamme.com,,,,,,
SWEET AND DANDY SORREL SYRUP,Syrup,ROSE & LAFLAMME,"Building #9, Newton Industrial Park, Christ Church",,,246-428-4112,246-420-8523,www.roselaflamme.com,,,,,,
EXOTICA CONDIMENTS SEASONINGS,Seasonings,EXOTICA CONDIMENTS INC.,"156 Rowans Park, St. George",,,246-230-4284,,,,,,,,
EXOTICA TROPICAL DRINKS & SYRUPS,Syrups,EXOTICA CONDIMENTS INC.,"156 Rowans Park, St. George",,,246-230-4284,,,,,,,,
EXOTICA CORNMEAL,Cornmeal,EXOTICA CONDIMENTS INC.,"156 Rowans Park, St. George",,,246-230-4284,,,,,,,,
WINDMILL PEPPER SAUCE,Pepper Sauce,WINDMILL INDUSTRIES,"#16 Stanmore Terrace, St. Michael",,,246-437-1686/       246-837-5670,246-437-1686,,,,,,,
WINDMILL SYRUPS,Syrups,WINDMILL INDUSTRIES,"#16 Stanmore Terrace, St. Michael",,,246-437-1686/       246-837-5670,246-437-1686,,,,,,,
WINDMILL CONDIMENTS,Condiments,WINDMILL INDUSTRIES,"#16 Stanmore Terrace, St. Michael",,,246-437-1686/       246-837-5670,246-437-1686,,,,,,,
CARMETA'S CASSAVA FLOUR,Flour,BARBADOS AGRICULTURAL AND DEVELOPMENT CORPORATION,,,,246-427-5250,,,,,,,,
CARMETA'S SWEET POTATO FLOUR,Flour,BARBADOS AGRICULTURAL AND DEVELOPMENT CORPORATION,,,,246-427-5250,,,,,,,,
CARMETA'S BREADFRUIT FLOUR,Flour,BARBADOS AGRICULTURAL AND DEVELOPMENT CORPORATION,,,,246-427-5250,,,,,,,,
BANKS BEER,Beer,BANKS HOLDINGS LTD,"Newton, Christ Church",,,246-227-6700,246-427-0772,www.banksbeer.com,,,,,,
TIGER MALT,Malt,BANKS HOLDINGS LTD,"Newton, Christ Church",,,246-227-6700,246-427-0772,www.banksbeer.com,,,,,,
PLUS,Plus,BANKS HOLDINGS LTD,"Newton, Christ Church",,,246-227-6700,246-427-0772,www.banksbeer.com,,,,,,
COCONUT COOLER,Cooler,BANKS HOLDINGS LTD,"Newton, Christ Church",,,246-227-6700,246-427-0772,www.banksbeer.com,,,,,,
TWIST LEMON SHANDY,Shandy,BANKS HOLDINGS LTD,"Newton, Christ Church",,,246-227-6700,246-427-0772,www.banksbeer.com,,,,,,
CLAYTON'S KOLA TONIC,Tonic,ARMSTRONG MANUFACTURING LTD,"Lot 2 Lower Estate, St. Michael",,,246-436-9308/   246-426-2767              ,246-429-2767,,,,,,,
TORTUGA RUM CAKES,Cakes,BAKERS CHOICE INC,,,,,,,,,,,,
CALYPSO RUM CAKES,Cakes,BAKERS CHOICE INC,,,,,,,,,,,,
GRENADA DARK CHOCOLATE BAR,Bar,AGAPEY CHOCOLATE FACTORY,"Cloister Building, Hincks St, Bridgetown, St. Michael",,,246-426-8505,,www.agapey.com,,,,,,
ESPRESSO DARK CHOCOLATE BAR,Bar,AGAPEY CHOCOLATE FACTORY,"Cloister Building, Hincks St, Bridgetown, St. Michael",,,246-426-8505,,www.agapey.com,,,,,,
ALMOND DARK CHOCOLATE BAR,Bar,AGAPEY CHOCOLATE FACTORY,"Cloister Building, Hincks St, Bridgetown, St. Michael",,,246-426-8505,,www.agapey.com,,,,,,
NUTMEG DARK CHOCOLATE BAR,Bar,AGAPEY CHOCOLATE FACTORY,"Cloister Building, Hincks St, Bridgetown, St. Michael",,,246-426-8505,,www.agapey.com,,,,,,
MOUNT GAY RUM CARAMEL DARK CHOCOLATE BAR,Bar,AGAPEY CHOCOLATE FACTORY,"Cloister Building, Hincks St, Bridgetown, St. Michael",,,246-426-8505,,www.agapey.com,,,,,,
GLOW SPREAD,Margarine,ROBERTS MANUFACTURING,"Lower Estate, St. Michael",,,246-429-2131,,www.rmco.com,,,,,,
MELLO CRÈME,Margarine,ROBERTS MANUFACTURING,"Lower Estate, St. Michael",,,246-429-2131,,www.rmco.com,,,,,,
FILLETED FLYING FISH,Fish,MORGAN'S SEAFOOD,,,,,,,,,,,,
MOUNT GAY RUM CARAMEL DARK CHOCOLATE BAR,Bar,,,,,,,,,,,,,
GLOW SPREAD,Margarine,ROBERTS MANUFACTURING,"Lower Estate, St. Michael",246-429-2131,,www.rmco.com,,,,,,,,
MELLO CRÈME,Margarine,ROBERTS MANUFACTURING,"Lower Estate, St. Michael",246-429-2131,,www.rmco.com,,,,,,,,
MOUNT GAY EXTRA OLD 750 ML,Rum,MOUNT GAY RUM DISTILLERIES LTD,"Exmouth Gap, Brandons St. Michael",246-425-8757,,https://www.mountgayrum.com,,,,,,,,
MOUNT GAY 1703 750 ML,Rum,MOUNT GAY RUM DISTILLERIES LTD,"Exmouth Gap, Brandons St. Michael",246-425-8758,,https://www.mountgayrum.com,,,,,,,,
MOUNT GAY 1703 MASTER SELECT 750 ML,Rum,MOUNT GAY RUM DISTILLERIES LTD,"Exmouth Gap, Brandons St. Michael",246-425-8759,,https://www.mountgayrum.com,,,,,,,,
MOUNT GAY ECLIPSE 750 ML,Rum,MOUNT GAY RUM DISTILLERIES LTD,"Exmouth Gap, Brandons St. Michael",246-425-8760,,https://www.mountgayrum.com,,,,,,,,
MOUNT GAY ECLIPSE PET 750 ML,Rum,MOUNT GAY RUM DISTILLERIES LTD,"Exmouth Gap, Brandons St. Michael",246-425-8761,,https://www.mountgayrum.com,,,,,,,,
MOUNT GAY ECLIPSE 1L,Rum,MOUNT GAY RUM DISTILLERIES LTD,"Exmouth Gap, Brandons St. Michael",246-425-8762,,https://www.mountgayrum.com,,,,,,,,
MOUNT GAY ECLIPSE 1.75 L,Rum,MOUNT GAY RUM DISTILLERIES LTD,"Exmouth Gap, Brandons St. Michael",246-425-8763,,https://www.mountgayrum.com,,,,,,,,
MOUNT GAY ECLIPSE 50 ML,Rum,MOUNT GAY RUM DISTILLERIES LTD,"Exmouth Gap, Brandons St. Michael",246-425-8764,,https://www.mountgayrum.com,,,,,,,,
MOUNT GAY SILVER RUM 750 ML,Rum,MOUNT GAY RUM DISTILLERIES LTD,"Exmouth Gap, Brandons St. Michael",246-425-8765,,https://www.mountgayrum.com,,,,,,,,
MOUNT GAY SILVER SUM 1.75 L,Rum,MOUNT GAY RUM DISTILLERIES LTD,"Exmouth Gap, Brandons St. Michael",246-425-8766,,https://www.mountgayrum.com,,,,,,,,
MOUNT GAY BLACK BARREL RUM 750 ML,Rum,MOUNT GAY RUM DISTILLERIES LTD,"Exmouth Gap, Brandons St. Michael",246-425-8767,,https://www.mountgayrum.com,,,,,,,,
MOUNT GAY XO CASK STRENGTH RUM 750 ML,Rum,MOUNT GAY RUM DISTILLERIES LTD,"Exmouth Gap, Brandons St. Michael",246-425-8768,,https://www.mountgayrum.com,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
