CommodityCode,Description, Export Value 
8533390000,OTHER WIREWOUND VARIABLE RESISTORS INCL. RHEOSTATS & POTENTIOMETERS," 3,277,690 "
2208409000,OTHER RUM AND TAFIA ," 2,468,796 "
1701110000,"CANE SUGAR,RAW, NOT CONTAINING ADDED FLAVOURING\COLOURING MATTER."," 1,152,287 "
3004909000,OTH.MEDICA.CONSIST.OF MIXED/UNMIXED PROD.FOR THERAPEUTIC ETC.," 878,024 "
9801100000,HOUSEHOLD EFFECTS ," 830,381 "
9801200000,PERSONAL EFFECTS ," 476,515 "
2203009040,OTHER BEER IN OTHER CONTAINERS CONTAINING > 4% BUT <= 5% ALCOHOL," 435,987 "
9021390000,OTHER ARTIFICIAL PARTS OF THE BODY ," 367,599 "
7118909000,OTHER COIN ," 341,971 "
8803300000,OTHER PARTS OF AEROPLANES OR HELICOPTERS," 328,434 "
0810905000,"BREADFRUIT, FRESH "," 293,604 "
1905310090,OTHER SWEET BISCUITS ," 280,111 "
9021900000,OTH. APPLIANCES IMPLANTED IN THE BODY TO COMPENSATE FOR A DEFECT," 256,655 "
0207149010,"OTHER CUTS OF FOWLS OF THE SPECIES GALLUS DOMESTICUS, FROZEN"," 252,765 "
2103901000,PEPPER SAUCE ," 240,485 "
9018900000,"OTH. INSTRUMENTS & APPLIANCES USED IN MEDICAL, SURGICAL/VET.  SCIENCES"," 189,574 "
7602000000,ALUMINIUM WASTE AND SCRAP ," 188,155 "
2208401000,"RUM/TAFIA, IN BOTTLES  OF  STRENGTH NOT EXCEEDING 46% VOL."," 180,045 "
2106901000,MAUBY SYRUP ," 179,934 "
8467110000,"PNEUMATIC, ROTARY TYPE TOOLS FOR WORKING IN THE HAND"," 141,819 "
4821100010,PRINTED PAPER LABELS OF PAPER OR PAPERBOARD," 112,974 "
2208700010,FALERNUM ," 106,713 "
0804400010,"AVOCADOS, FRESH "," 82,919 "
8501310000,OTHER DC MOTORS; DC GENERATORS OF AN OUTPUT NOT EXCEEDING 750W," 77,447 "
2202101000,AERATED BEVERAGES ," 66,880 "
9701101000,PAINTINGS ," 63,371 "
3303009000,OTHER PERFUMES AND TIOLET WATER ," 55,209 "
8903990000,"OTHER YACHTS, ROWING BOATS, CANOES AND VESSELS FOR PLEASURE OR SPORTS"," 53,333 "
2203001040,BEER IN OTHER CONTAINERS CONTAINING > 4% BUT <= 5% ALCOHOL," 48,632 "
8803900000,OTHER PARTS OF GOODS OF HEADING 88.01 OR 88.02," 43,301 "
7017900000,"OTHER LAB., HYGIENIC  OR PHARMACEUTICAL GLASSWARE"," 40,670 "
9403400000,WOODEN FURNITURE OF A KIND USED IN THE KITCHEN," 38,827 "
2203002050,STOUT IN OTHER CONTAINERS CONTAINING > 5% BUT <= 10% ALCOHOL," 38,810 "
0407003000,OTHER FRESH EGGS. ," 37,245 "
8703322030,"OF A CYLINDER CAPACITY > 1,500 CC <=1,600,OTHER,WHERE CHARGE.> $45,000"," 36,876 "
8708409000,OTHER GEAR BOXES ," 31,748 "
9018310000,"SYRINGES, WITH OR WITHOUT NEEEDLES "," 29,305 "
3822000000,DIANOSTIC & LABORATORY REAGENTS WHETHER OR NOT PREPARED ON A BACKING," 28,370 "
2203001030,BEER IN OTHER CONTAINERS CONTAINING > 1% BUT <= 4% ALCOHOL," 25,469 "
8450111000,"FULLY-AUTOMATIC WASHING MACHINES FOR DOM.USE, DRY LINEN CAPACITY<=10KG"," 25,169 "
4911999000,OTHER PRINTED MATTER ," 24,958 "
1905909090,OTHER ," 24,492 "
9403609090,OTHER WOODEN FURNITURE ," 24,440 "
