CommodityCode,Description, Export Value 
1701110000,"CANE SUGAR,RAW, NOT CONTAINING ADDED FLAVOURING\COLOURING MATTER."," 5,899,672 "
8533390000,OTHER WIREWOUND VARIABLE RESISTORS INCL. RHEOSTATS & POTENTIOMETERS," 3,796,260 "
2208409000,OTHER RUM AND TAFIA ," 3,601,211 "
9015800000,"OTHER SURVEYING INSTRUMENTS FOR HYDROGRAPHIC, OCEANOGRAPHIC ETC USES"," 3,389,175 "
8803300000,OTHER PARTS OF AEROPLANES OR HELICOPTERS," 1,396,732 "
9801200000,PERSONAL EFFECTS ," 1,068,270 "
9021390000,OTHER ARTIFICIAL PARTS OF THE BODY ," 381,714 "
3004909000,OTH.MEDICA.CONSIST.OF MIXED/UNMIXED PROD.FOR THERAPEUTIC ETC.," 358,994 "
7118909000,OTHER COIN ," 333,859 "
2208700010,FALERNUM ," 333,621 "
2103901000,PEPPER SAUCE ," 322,044 "
9801100000,HOUSEHOLD EFFECTS ," 298,899 "
0207149010,"OTHER CUTS OF FOWLS OF THE SPECIES GALLUS DOMESTICUS, FROZEN"," 280,509 "
0810905000,"BREADFRUIT, FRESH "," 273,558 "
2208401000,"RUM/TAFIA, IN BOTTLES  OF  STRENGTH NOT EXCEEDING 46% VOL."," 247,868 "
2203009040,OTHER BEER IN OTHER CONTAINERS CONTAINING > 4% BUT <= 5% ALCOHOL," 229,642 "
2106901000,MAUBY SYRUP ," 190,708 "
1905310090,OTHER SWEET BISCUITS ," 154,026 "
8517800000,OTHER ELECTRICAL APPARATUS FOR LINE TELEPHONY OR LINE TELEGRAPHY," 146,039 "
4821100010,PRINTED PAPER LABELS OF PAPER OR PAPERBOARD," 133,019 "
9026800000,OTH INSTR. TO MEASURE/CHECK THE FLOW OF OTHER VARIABLES OF LIQUIDS/GASES," 124,595 "
2203001050,BEER IN OTHER CONTAINERS CONTAINING > 5% BUT <= 10% ALCOHOL," 109,822 "
8803900000,OTHER PARTS OF GOODS OF HEADING 88.01 OR 88.02," 103,753 "
8473300000,PARTS & ACCESSORIES OF THE MACHINES OF HEADING 84.71," 93,027 "
0804400010,"AVOCADOS, FRESH "," 89,666 "
7113191000,GOLD JEWELLERY WHETHER OR NOT CLAD WITH OTHER PRECIOUS METAL," 85,352 "
9701101000,PAINTINGS ," 80,934 "
9021900000,OTH. APPLIANCES IMPLANTED IN THE BODY TO COMPENSATE FOR A DEFECT," 65,201 "
0407003000,OTHER FRESH EGGS. ," 65,088 "
8903990000,"OTHER YACHTS, ROWING BOATS, CANOES AND VESSELS FOR PLEASURE OR SPORTS"," 60,000 "
9033000000,"PARTS/ACCESSORIES, NES, FOR MACHINES APPLIANCES, INSTRUMENTS OF CHP 90"," 56,629 "
8504500000,OTHER INDUCTORS ," 51,166 "
8707100000,BODIES FOR THE VEHICLES OF HEADING 87.03," 50,000 "
1905909090,OTHER ," 48,979 "
0401200000,"MILK & CREAM, OF A FAT CONTENT,BY WEIGHT,EXCEEDING 1% BUT NOT 6%"," 43,450 "
8429590000,"OTHER MECHANICAL SHOVELS, EXCAVATORS AND SHOVEL LOADERS"," 33,524 "
9018900000,"OTH. INSTRUMENTS & APPLIANCES USED IN MEDICAL, SURGICAL/VET.  SCIENCES"," 29,226 "
0810907000,"AKEE(ACKEE) (BLIGHIA SAPIDA KOENIG), FRESH"," 28,492 "
2103904000,"ACHAR, KUCHELA AND SIMILAR PREPARATIONS"," 28,416 "
2103909000,OTHER SAUCES/PREPS.OTHER MIXED CONDIMENTS/SEASONINGS," 25,207 "
3924101000,"CUPS, FORKS, PLATES, SPOONS AND TUMBLERS, OF PLASTICS"," 23,753 "
2106902000,OTHER FLAVOURED OR COLOURED SUGAR SYRUPS," 23,622 "
8506500000,"PRIMARY CELLS AND PRIMARY BATTERIES, OF LITHIUM"," 19,443 "
9403209000,OTHER METAL FURNITURE ," 19,108 "
2201909000,"OTHER WATERS, WITHOUT SUGAR ETC; INC. ICE/SNOW"," 18,952 "
