CommodityCode,Description, Export Value 
0104201000,LIVE GOATS FOR BREEDING ," 1,300 "
0106903000,LIVE DOGS. ," 13,090 "
0106904000,LIVE CATS. ," 1,490 "
0106909000,OTHER LIVE ANIMALS ," 12,816 "
0203290000,"OTHER MEAT OF SWINE, FROZEN. "," 40,442 "
0207149010,"OTHER CUTS OF FOWLS OF THE SPECIES GALLUS DOMESTICUS, FROZEN"," 349,777 "
0401200000,"MILK & CREAM, OF A FAT CONTENT,BY WEIGHT,EXCEEDING 1% BUT NOT 6%"," 14,100 "
0407003000,OTHER FRESH EGGS. ," 127,462 "
0602200000,"TREES,SHRUBS & BUSHES GRAFTED OF THE KIND THAT BEAR EDIBLE FRUIT OR NUTS", 10 
0603109000,"OTHER FRESH,CUT FLOWERS AND BUDS FOR ORNAMENTS OR BOUQUETS"," 6,000 "
0804400010,"AVOCADOS, FRESH "," 11,000 "
0804502010,"MANGOES, FRESH "," 11,000 "
0810905000,"BREADFRUIT, FRESH "," 167,220 "
0810907000,"AKEE(ACKEE) (BLIGHIA SAPIDA KOENIG), FRESH"," 18,000 "
0910990000,OTHER SPICES , 72 
1101009010,OTHER WHEAT FLOUR ," 11,712 "
1209290000,OTHER SEEDS OF FORAGE PLANTS. , 12 
1209990000,"OTHER SEEDS, FRUITS AND SPORES, OF A KIND USED FOR SOWING.", 2 
1404109000,OTHER RAW VEGETABLE MATERIALS OF A KINDS USED FOR DYEING OR TANNING, 313 
1517100000,MARGARINE EXCLUDING LIQUID MARGARINE ," 6,176 "
1517901000,IMITATION LARD AND LARD SUBSTITUTE (SHORTENING), 12 
1701110000,"CANE SUGAR,RAW, NOT CONTAINING ADDED FLAVOURING\COLOURING MATTER."," 7,174,741 "
1701999000,"OTH. CANE/BEET SUGAR & CHEMICALLY PURE SUCROSE, IN SOLID FORM.", 20 
1702901000,SYRUP OF CANE SUGAR.. ," 32,832 "
1704900010,SUGAR CONFECTIONERY NOT CONTAINING COCOA (HARD CANDY), 15 
1704900090,"OTHER SUGAR CONFECTIONERY (SOFT CANDY), NOT CONTAINING COCOA", 20 
1901201000,CAKE MIX IN RETAIL PACKAGES  NOT EXCEEDING 2 KG, 1 
1905310090,OTHER SWEET BISCUITS ," 185,209 "
1905901010,"BISCUITS, UNSWEETENED "," 5,791 "
1905901090,OTHER UNSWEETENED BISCUITS , 30 
1905909090,OTHER ," 3,110 "
2005209090,OTHER POTATO PRODUCTS , 200 
2007993000,GUAVA JAM AND JELLIES , 40 
2007994000,GUAVA CHEESE , 1 
2007999000,"OTHER JAMS,FRUIT PUREE,PASTE ETC.", 2 
2008920000,"FRUIT MIXTURES, PREPARED OR PRESERVED", 216 
2008992000,"BANANA AND PLANTAIN CHIPS, PREPARED OR PRESERVED", 100 
2103901000,PEPPER SAUCE ," 267,711 "
2103909000,OTHER SAUCES/PREPS.OTHER MIXED CONDIMENTS/SEASONINGS," 52,975 "
2106901000,MAUBY SYRUP ," 208,145 "
2106902000,OTHER FLAVOURED OR COLOURED SUGAR SYRUPS," 33,383 "
2106909000,OTHER FOOD PREPARATIONS N.E.S. ," 1,696 "
2201101000,MINERAL WATERS , 27 
2202101000,AERATED BEVERAGES ," 3,010 "
2202109000,OTHER WATERS INC. MINERAL/AERATED WITH ADDED SUGAR ETC," 15,788 "
2202902000,MALT BEVERAGES ," 3,000 "
2202909000,OTHER NON-ALCOHOLIC BEVERAGES , 512 
2203001030,BEER IN OTHER CONTAINERS CONTAINING > 1% BUT <= 4% ALCOHOL, 64 
2203009040,OTHER BEER IN OTHER CONTAINERS CONTAINING > 4% BUT <= 5% ALCOHOL," 123,178 "
2203009050,OTHER BEER IN OTHER CONTAINERS CONTAINING > 5% BUT <= 10% ALCOHOL," 26,880 "
2206001010,SHANDIES CONTAINING > 0.5% BUT =< 1% ALCOHOL," 1,140 "
2207200000,"ETHYL ALCOHOL AND OTHER SPIRITS, DENATURED OF ANY STRENGTH"," 8,403 "
2208209000,OTHER SPIRITS DISTILLED FROM GRAPE WINE OR GRAPE MARC, 259 
2208401000,"RUM/TAFIA, IN BOTTLES  OF  STRENGTH NOT EXCEEDING 46% VOL."," 771,752 "
2208409000,OTHER RUM AND TAFIA ," 4,514,902 "
2208700010,FALERNUM ," 287,824 "
2208901000,AROMATIC BITTERS USED AS FLAVOURING AGENT FOR FOOD AND BEVERAGES," 2,197 "
2710198300,OTHER LUBRICATING OILS , 4 
2711190000,OTHER LIQUEFIED PETROLEUM GASES AND OTHER GASEOUS HYDROCARBONS, 290 
3002900000,"HUMAN BLOOD, ANIMAL BLOOD PREPARED FOR THERAPEUTIC, PROPHYLACTIC ETC", 71 
3004909000,OTH.MEDICA.CONSIST.OF MIXED/UNMIXED PROD.FOR THERAPEUTIC ETC.," 22,529 "
3215110000,BLACK PRINTING INK , 511 
3215190000,OTHER PRINTING INK , 915 
3303009000,OTHER PERFUMES AND TIOLET WATER ," 40,277 "
3406009000,TAPERS AND THE LIKE , 20 
3707900000,OTHER CHEMICAL PREPS & UNMIXED PROD- UCTS FOR PHOTO. USES FOR RETAIL SALE," 23,772 "
3816001000,MORTARS ," 2,800 "
3823190000,"OTHER INDUSTRIAL MONOCARBOXYLIC FATTY ACIDS, ACID OILS FROM REFINING", 20 
3919100000,"SELF ADHESIVE PLATES,SHEETS,FILM, IN ROLLS OF WIDTH NOT EXCEEDING 20CM", 72 
3921900000,"OTHER PLATES, SHEETS, FILM, FOIL, AND STRIP, OF PLASTICS", 20 
3923309000,"CARBOYS, FLASKS AND SIMILAR ARTICLES, OF PLASTICS", 20 
3924109000,"OTHER TABLEWARE AND KITCHENWARE, OF PLASTICS", 6 
3926400000,"STATUETTES AND OTHER ORNAMENTAL ARTICLES, OF PLASTICS", 550 
3926909000,OTH.ARTICLES OF PLASTIC AND ARTIC.OF OTH.MATER.OF HEAD.39.01-3914.00 ETC, 20 
4202122000,BRIEF-CASES WITH OUTER SURFACE OF PLASTICS OR OF TEXTILE MATERIALS," 1,227 "
4202319000,OTHER ARTICLES OF LEATHER ETC. CARRIED IN A POCKET OR HANDBAG, 6 
4202329000,OTHER ARTICLES OF PLASTIC SHEETING OR OF OTHER TEXTILE MATERIALS, 20 
4202920090,OTHER WITH OUTER SURFACE OF PLASTIC OR OF TEXTILE MATERIAL, 14 
4407241000,"MAHOGANY,SAWN,CHIPPED LENGTHWISE, ETC., >6 MM THICK"," 134,991 "
4416001000,"CASKS,BARRELS AND PUNCHEON OF OAK "," 43,524 "
4602109000,"OTHER BASKETWORK, WICKERWORK AND OTHER ARTICLES,OF VEGETABLE MATERIAL"," 29,558 "
4706100000,COTTON LINTERS PULP , 20 
4818402000,NAPKINS AND NAPKIN LINERS FOR BABIES , 72 
4819100000,"CARTONS, BOXES AND CASES, OF CORRUGATED PAPER OR PAPERBOARD", 5 
4820100090,A4 DIARIES , 45 
4820300000,"BINDERS (OTHER THAN BOOK COVERS), FOLDERS AND FILE COVERS"," 3,000 "
4821100010,PRINTED PAPER LABELS OF PAPER OR PAPERBOARD," 80,356 "
4821900010,OTHER LABELS OF PAPER OR PAPERBOARD ," 1,000 "
4823120000,"OTHER SELF-ADHESIVE PAPERS, IN STRIPS OR ROLLS", 1 
4823909090,OTHER ARTICLES OF PAPER PULP/PAPER ," 2,311 "
4901109000,"OTHER PRINTED BOOKS & SIMIL. PRINTED MATTER IN SING.SHEETS, WHET./NOT FOL"," 3,486 "
4901999000,"OTHER PRINTED BOOKS, LEAFLETS AND SIMIL.PRINT.MATTER,NOT IN SINGLE SHE"," 3,206 "
4907003000,CHEQUE FORMS , 10 
4909001000,PRINTED OR ILLUSTRATED POSTCARDS , 14 
4910000000,"CALENDARS OF ANY KIND, PRINTED, INCLUDING CALENDAR BLOCKS", 66 
4911100000,"TRADE ADVERTISING MATERIAL, COMMERCIAL CATALOGUES AND THE LIKE", 346 
4911999000,OTHER PRINTED MATTER ," 8,612 "
5516920000,"OTHER WOVEN FABRICS OF ARTIFICIAL STAPLE FIBRES, DYED", 20 
6103391000,MEN'S/BOYS' JACKETS/BLAZERS KNITTED/ CROCHETED OF OTHER.TEX. MATERIALS, 150 
6109101000,"T-SHIRTS OF COTTON,KNITTED\CROCHETED ", 94 
6109901000,"T-SHIRTS, OF OTHER TEXTILE MATERIALS, KNITTED OR CROCHETED", 690 
6115911000,SOCKS AND ANKLE-SOCKS KNITTED OR CROCHETED OF WOOL\FINE ANIMAL HAIR, 164 
6117100000,"SHAWLS, SCARVES, MUFFLERS, VEILS AND THE LIKE KNITTED OR CROCHETED", 20 
6201110000,"MEN'S\BOYS' OVER-COATS,RAINCOATS AND SIM. ARTIC. OF WOOL\FINE ANIMAL HAIR", 258 
6203491000,MEN'S OR BOYS' TROUSERS AND SHORTS OF OTHER TEXTILE MATERIALS, 110 
6204220000,WOMEN'S OR GIRLS' ENSEMBLES OF COTTON, 150 
6204430000,"WOMEN'S OR GIRLS' DRESSES, OF SYNTHETIC FIBRES"," 2,706 "
6204490000,WOMEN'S OR GIRLS' DRESSES OF OTHER TEXTILES MATERIALS," 1,250 "
6205300000,"MEN'S OR BOYS' SHIRTS, OF MAN-MADE FIBRES", 32 
6205900000,"MEN'S OR BOYS' SHIRTS, OF OTHER TEXTILE MATERIALS"," 1,528 "
6211120000,"WOMEN'S OR GIRLS' SWIMWEAR, ", 100 
6211490000,OTHER WOMEN'S OR GIRLS' GARMENTS OF OTHER TEXTILE MATERIALS, 360 
6303920010,CURTAINS (INCLUDING DRAPES) & INTERIOR BLINDS OF SYNTHETIC FIBRES, 200 
6306310000,SAILS OF SYNTHETIC FIBRES ," 2,640 "
6309000000,WORN CLOTHING & OTHER WORN ARTICLES ," 3,905 "
6405900000,"OTHER FOOTWEAR, N.E.S. "," 2,709 "
6704190000,"FALSE BEARDS, EYEBROWS, EYELASHES ETC OF SYNTHETIC TEXTILE MATERIALS", 30 
6704200000,"WIGS, FALSE BEARDS,EYEBROWS ETC ARTICLES OFHUMAN HAIR", 100 
