CommodityCode,Description, Export Value 
1701110000,"CANE SUGAR,RAW, NOT CONTAINING ADDED FLAVOURING\COLOURING MATTER."," 5,828,751 "
9015800000,"OTHER SURVEYING INSTRUMENTS FOR HYDROGRAPHIC, OCEANOGRAPHIC ETC USES"," 5,373,402 "
8533390000,OTHER WIREWOUND VARIABLE RESISTORS INCL. RHEOSTATS & POTENTIOMETERS," 4,285,191 "
2208409000,OTHER RUM AND TAFIA ," 3,679,793 "
9021900000,OTH. APPLIANCES IMPLANTED IN THE BODY TO COMPENSATE FOR A DEFECT," 1,145,281 "
8803300000,OTHER PARTS OF AEROPLANES OR HELICOPTERS," 1,074,562 "
2208401000,"RUM/TAFIA, IN BOTTLES  OF  STRENGTH NOT EXCEEDING 46% VOL."," 596,198 "
9801100000,HOUSEHOLD EFFECTS ," 539,908 "
9801200000,PERSONAL EFFECTS ," 483,309 "
9021390000,OTHER ARTIFICIAL PARTS OF THE BODY ," 392,219 "
0207149010,"OTHER CUTS OF FOWLS OF THE SPECIES GALLUS DOMESTICUS, FROZEN"," 347,475 "
2103901000,PEPPER SAUCE ," 207,336 "
0810905000,"BREADFRUIT, FRESH "," 196,245 "
2203009040,OTHER BEER IN OTHER CONTAINERS CONTAINING > 4% BUT <= 5% ALCOHOL," 182,064 "
1905310090,OTHER SWEET BISCUITS ," 179,494 "
2106901000,MAUBY SYRUP ," 163,485 "
8703231020,COMPLETELY KNOCKED DOWN FOR  ASSEMBL ," 134,092 "
3004909000,OTH.MEDICA.CONSIST.OF MIXED/UNMIXED PROD.FOR THERAPEUTIC ETC.," 111,030 "
2203001040,BEER IN OTHER CONTAINERS CONTAINING > 4% BUT <= 5% ALCOHOL," 110,284 "
0407003000,OTHER FRESH EGGS. ," 104,026 "
4821100010,PRINTED PAPER LABELS OF PAPER OR PAPERBOARD," 101,250 "
8903990000,"OTHER YACHTS, ROWING BOATS, CANOES AND VESSELS FOR PLEASURE OR SPORTS"," 100,569 "
9018900000,"OTH. INSTRUMENTS & APPLIANCES USED IN MEDICAL, SURGICAL/VET.  SCIENCES"," 99,385 "
8703231010,COMPLETELY KNOCKED DOWN FOR  ASSEMBL ," 98,640 "
8511400000,STARTER MOTORS AND DUAL PURPOSE STARTER-GENERATORS," 97,217 "
2208700010,FALERNUM ," 95,107 "
8716400000,OTHER TRAILERS & SEMI-TRAILERS N.E.S ," 77,371 "
9403300000,WOODEN FURNITURE OF A KIND USED IN OFFICES," 74,382 "
7602000000,ALUMINIUM WASTE AND SCRAP ," 68,822 "
9001500000,SPECTACLE LENSES OF OTHER MATERIALS ," 66,417 "
7118909000,OTHER COIN ," 63,544 "
8703322090,"OF A CYLINDER CAPACITY >1,600 CC BUT <=2,000,OTHER,WHERE CHARGE.> $45,000"," 63,358 "
8703322020,"OF A CYLINDER CAPACITY > 1,600 CC <=2,000,OTHER,WHERE CHARGE<=$45,000"," 55,000 "
8517500000,"OTHER APPARATUS, FOR CARRIER-CURRENT LINE SYS. / FOR DIGITAL LINE SYSTEMS"," 53,853 "
0804400010,"AVOCADOS, FRESH "," 53,632 "
9701101000,PAINTINGS ," 46,886 "
8429590000,"OTHER MECHANICAL SHOVELS, EXCAVATORS AND SHOVEL LOADERS"," 44,753 "
3303009000,OTHER PERFUMES AND TIOLET WATER ," 44,325 "
8803900000,OTHER PARTS OF GOODS OF HEADING 88.01 OR 88.02," 40,562 "
1905909090,OTHER ," 38,083 "
8471300000,"PORTABLE DIGITAL AUTOMATIC DATA PROCESSING MACHINES, WGT.<=10 KG ETC"," 37,904 "
2203002040,STOUT IN OTHER CONTAINERS CONTAINING > 4% BUT <= 5% ALCOHOL," 35,280 "
8703234010,"OF A CYLINDER CAPACITY EXCEEDING 2,0 "," 28,000 "
8205590000,OTHER HAND TOOLS  (INCLUDING GLAZIER'S  DIAMONDS)," 26,646 "
7017900000,"OTHER LAB., HYGIENIC  OR PHARMACEUTICAL GLASSWARE"," 25,568 "
